0,0,19.1
0,0,19.1
1,1,19.1
-1,0,19.1
0,3,19.1
1,4,19.1
0,1,19.1
-1,0,19.1
1,5,19.1
2,2,19.1
-1,0,19.1
-1,4,19.1
0,6,19.1
-1,1,19.1
0,0,19.1
-1,13,19.1
0,2,19.1
-1,0,19.1
-2,7,19.1
0,4,19.1
0,1,19.1
-1,0,19.1
-2,9,19.1
-1,1,19.1
0,0,19.1
-2,10,19.1
0,1,19.1
0,0,19.1
0,6,19.1
1,2,19.1
-1,0,19.1
1,6,19.1
1,3,19.1
0,1,19.1
0,0,19.1
1,5,19.1
0,1,19.1
0,0,19.1
0,5,19.1
0,1,19.1
0,1,19.1
0,0,19.1
0,9,19.1
0,1,19.1
0,0,19.1
0,6,19.1
0,1,19.1
-1,0,19.1
-1,1,19.1
0,1,19.1
0,0,19.1
-3,2,19.1
0,1,19.1
0,0,19.1
0,0,19.1
-2,0,19.1
0,0,19.1
0,0,19.1
0,0,19.1
4,4,19.1
0,0,19.1
0,0,19.1
1,-1,19.1
1,-1,19.1
0,0,19.1
5,4,19.1
0,0,19.1
0,0,19.1
2,0,19.1
1,0,19.1
0,0,19.1
2,1,19.1
1,1,19.1
0,0,19.1
0,0,19.1
-1,-1,19.1
0,0,19.1
-1,0,19.1
-3,1,19.1
0,0,19.1
-1,0,19.1
0,0,19.1
-1,1,19.1
0,0,19.1
0,0,19.1
-1,-2,19.1
0,-1,19.1
0,0,19.1
0,0,19.1
